order_id,order_date,menu_item_name,menu_item_category,menu_item_price,menu_item_size,menu_item_quantity,customer_name,delivery,delivery_address
YUHZ1GV0E3,2024-06-21,Supreme Pizza,Pizza,13.99,Large,8,James Moore,Yes,"1441 Fulton St, Brooklyn, NY"
M43D8W3ZP0,2024-02-25,Mountain Dew 2 Liter,Beverage,3.29,2L,5,Charles Davis,Yes,"3349 Atlantic Ave, Brooklyn, NY"
H2M5ZJA8DZ,2024-05-18,Mountain Dew 2 Liter,Beverage,3.29,2L,10,William Anderson,Yes,"4122 Atlantic Ave, Brooklyn, NY"
TMQLIZL08Y,2024-05-03,Veggie Pizza,Pizza,12.49,Large,4,Elizabeth Davis,Yes,"382 Atlantic Ave, Brooklyn, NY"
TZE5R5UQPG,2024-09-04,Classic Pepperoni Pizza,Pizza,9.49,Large,3,Mark Miller,Yes,
6KVPUC8D1W,2024-09-01,Classic Cheese Pizza,Pizza,8.99,Large,3,Lisa Johnson,Yes,"9553 Eastern Pkwy, Brooklyn, NY"
2V2HEIFJFC,2024-02-11,ExtraMostBestest Pepperoni,Pizza,10.49,Large,5,Susan Anderson,Yes,"2664 Flatbush Ave, Brooklyn, NY"
U89YJB1QX6,2024-10-31,Caesar Wings,Wings,8.99,8pc,3,Richard Rodriguez,Yes,"5082 Utica Ave, Brooklyn, NY"
QLL8OS9XTO,2024-10-26,Classic Pepperoni Pizza,Pizza,9.49,Large,9,David Brown,Yes,"6790 Kings Hwy, Brooklyn, NY"
VIFTTD96QE,2024-07-04,Classic Pepperoni Pizza,Pizza,9.49,Large,4,Michael Rodriguez,No,
2O7S3KKV9R,2024-09-12,Buffalo Wings,Wings,9.49,8pc,3,Linda Anderson,Yes,"8005 Fulton St, Brooklyn, NY"
R6N92XF8E8,2024-10-02,Classic Pepperoni Pizza,Pizza,9.49,Large,4,Joseph Hernandez,Yes,"9003 Coney Island Ave, Brooklyn, NY"
44NLZ15BCW,2024-02-21,ExtraMostBestest Cheese,Pizza,10.49,Large,4,Nancy Jones,Yes,"7586 Flatbush Ave, Brooklyn, NY"
NFTU2GC5WI,2024-04-26,2 Liter Diet Pepsi,Beverage,3.29,2L,1,Anthony Brown,No,
K8YQK94DNM,2024-03-14,2 Liter Diet Pepsi,Beverage,3.29,2L,2,Lisa Smith,Yes,"7629 Church Ave, Brooklyn, NY"
HGJ11YEDWB,2024-12-24,ExtraMostBestest Pepperoni,Pizza,10.49,Large,5,Anthony Johnson,Yes,"9372 Eastern Pkwy, Brooklyn, NY"
30ME8F8409,2024-01-18,Caesar Wings,Wings,8.99,8pc,3,Nancy Wilson,Yes,"4935 Kings Hwy, Brooklyn, NY"
A5U6HC36KO,2024-10-12,Mountain Dew 2 Liter,Beverage,3.29,2L,5,Joseph Lopez,Yes,"8891 Atlantic Ave, Brooklyn, NY"
X4W7KYHQIN,2024-01-20,Classic Pepperoni Pizza,Pizza,9.49,Large,8,Richard Anderson,Yes,"8907 Bedford Ave, Brooklyn, NY"
LF6A4FEJGX,2024-07-07,Aquafina Water,Beverage,1.99,20oz,9,John Miller,Yes,"2101 Fulton St, Brooklyn, NY"
B25SQ8CROY,2024-01-08,Classic Cheese Pizza,Pizza,8.99,Large,3,William Johnson,Yes,"358 Bedford Ave, Brooklyn, NY"
P2EX5T5P5O,2024-08-15,Veggie Pizza,Pizza,12.49,Large,1,Robert Rodriguez,Yes,"2530 Atlantic Ave, Brooklyn, NY"
YO57P6BKLD,2024-07-23,Buffalo Wings,Wings,9.49,8pc,4,William Lopez,Yes,"5220 Eastern Pkwy, Brooklyn, NY"
3WXA73JGZL,2024-03-20,Deep Dish Pepperoni,Pizza,11.99,Regular,4,Barbara Moore,No,
1BCPPVOHSM,2024-01-04,ExtraMostBestest Cheese,Pizza,10.49,Large,2,Robert Smith,Yes,"6666 Atlantic Ave, Brooklyn, NY"
PETIUYMO0P,2024-12-13,Classic Pepperoni Pizza,Pizza,9.49,Large,10,Mary Smith,Yes,"6575 Ocean Pkwy, Brooklyn, NY"
VSOLMLGSES,2024-02-09,Supreme Pizza,Pizza,13.99,Large,3,Patricia Gonzalez,Yes,"6943 Church Ave, Brooklyn, NY"
UWW5WFCPKJ,2024-06-27,2 Liter Diet Pepsi,Beverage,3.29,2L,8,Karen Jones,Yes,"3332 Bedford Ave, Brooklyn, NY"
Q3XLRFCD6M,2024-09-16,Classic Cheese Pizza,Pizza,8.99,Large,1,Barbara Martinez,Yes,"716 Flatbush Ave, Brooklyn, NY"
XCDYK0X65M,2024-09-15,Crazy Bread Combo,Sides,5.99,Regular,4,Joseph Taylor,No,
0YSXPNNGH8,2024-03-13,Deep Dish Cheese,Pizza,11.49,Regular,3,Matthew Gonzalez,No,
FPOYIPK0QT,2024-04-25,Veggie Pizza,Pizza,12.49,Large,2,Anthony Moore,Yes,"1757 Court St, Brooklyn, NY"
N7ZSEDFQS3,2024-08-28,ExtraMostBestest Pepperoni,Pizza,10.49,Large,2,Joseph Martinez,Yes,"9445 Fulton St, Brooklyn, NY"
DZMFB7R31Q,2024-04-23,Classic Cheese Pizza,Pizza,8.99,Large,4,Susan Johnson,No,
VASIFPWIOX,2024-02-10,Crazy Bread,Sides,4.99,Regular,5,Sarah Martin,No,
LBT3G2QZW3,2024-07-03,Classic Cheese Pizza,Pizza,8.99,Large,1,Daniel Gonzalez,Yes,"7802 Flatbush Ave, Brooklyn, NY"
25LEN606N9,2024-08-22,Classic Cheese Pizza,Pizza,8.99,Large,1,David Martinez,Yes,"3368 Flatbush Ave, Brooklyn, NY"
VPYMB5M9J9,2024-09-11,Veggie Pizza,Pizza,12.49,Large,3,Nancy Wilson,No,
QNPCENLK8A,2024-02-08,Mountain Dew 2 Liter,Beverage,3.29,2L,4,Robert Martin,Yes,"2721 Flatbush Ave, Brooklyn, NY"
6QDY4LMCT6,2024-09-22,Classic Pepperoni Pizza,Pizza,9.49,Large,10,Joseph Miller,Yes,"4364 Utica Ave, Brooklyn, NY"
ZS13C9XQYM,2024-12-30,2 Liter Pepsi,Beverage,3.29,2L,6,Linda Thomas,Yes,"3392 Bedford Ave, Brooklyn, NY"
8JWWDXVUGW,2024-10-09,2 Liter Pepsi,Beverage,3.29,2L,2,Thomas Jones,Yes,"1007 Atlantic Ave, Brooklyn, NY"
TXKI3OQYFO,2024-06-21,2 Liter Diet Pepsi,Beverage,3.29,2L,4,Anthony Jackson,No,
DKNWI5FLUL,2024-06-23,Supreme Pizza,Pizza,13.99,Large,6,Sandra Lopez,No,
4YKADEJNOB,2024-09-12,Italian Cheese Bread,Sides,6.49,Regular,4,Jessica Smith,No,
2M71HSSBEL,2024-10-14,Classic Cheese Pizza,Pizza,8.99,Large,2,Thomas Anderson,Yes,"1304 Coney Island Ave, Brooklyn, NY"
3NY9V20YAR,2024-08-21,Veggie Pizza,Pizza,12.49,Large,2,Richard Martin,Yes,"5318 Bedford Ave, Brooklyn, NY"
PPOHSWQ40Z,2024-10-23,Mountain Dew 2 Liter,Beverage,3.29,2L,2,Daniel Martin,Yes,"2893 Court St, Brooklyn, NY"
GIUI9KKHZL,2024-10-14,Deep Dish Pepperoni,Pizza,11.99,Regular,3,Joseph Moore,Yes,"5240 Bedford Ave, Brooklyn, NY"
PJRHT7ZEWV,2024-05-20,ExtraMostBestest Cheese,Pizza,10.49,Large,3,Donald Gonzalez,Yes,"8999 Coney Island Ave, Brooklyn, NY"
KC1XI04B7P,2024-12-08,ExtraMostBestest Pepperoni,Pizza,10.49,Large,5,Jessica Brown,Yes,"5511 Utica Ave, Brooklyn, NY"
QGEFQJG02U,2024-01-19,2 Liter Pepsi,Beverage,3.29,2L,4,James Martinez,Yes,"4842 Flatbush Ave, Brooklyn, NY"
0AXYCELOS6,2024-03-30,Italian Cheese Bread,Sides,6.49,Regular,9,Robert Thomas,Yes,"1662 Bedford Ave, Brooklyn, NY"
31YV2STN7E,2024-06-08,Crazy Bread Combo,Sides,5.99,Regular,5,Jessica Jones,Yes,"3690 Bedford Ave, Brooklyn, NY"
UUYLAJAHCP,2024-09-15,Buffalo Wings,Wings,9.49,8pc,8,Patricia Miller,Yes,"8625 Fulton St, Brooklyn, NY"
7NC85E4E9O,2024-10-04,Crazy Bread Combo,Sides,5.99,Regular,1,Jessica Johnson,No,
51BXW76ICV,2024-04-24,Classic Pepperoni Pizza,Pizza,9.49,Large,1,Joseph Moore,No,
30LVYLKFXH,2024-12-10,Supreme Pizza,Pizza,13.99,Large,1,Richard Anderson,No,
Z36U8UEIHX,2024-02-01,ExtraMostBestest Pepperoni,Pizza,10.49,Large,2,Daniel Gonzalez,Yes,"868 Kings Hwy, Brooklyn, NY"
8A78E9RIVH,2024-07-08,2 Liter Diet Pepsi,Beverage,3.29,2L,3,Sandra Williams,Yes,"9978 Flatbush Ave, Brooklyn, NY"
OUHFJ7UPFL,2024-10-09,2 Liter Diet Pepsi,Beverage,3.29,2L,3,Barbara Martinez,Yes,"8843 Eastern Pkwy, Brooklyn, NY"
S4C3BAEWCF,2024-05-05,ExtraMostBestest Cheese,Pizza,10.49,Large,10,Daniel Thomas,Yes,"8105 Utica Ave, Brooklyn, NY"
7G7SIWJM2C,2024-08-21,ExtraMostBestest Pepperoni,Pizza,10.49,Large,3,Jessica Smith,Yes,"8016 Eastern Pkwy, Brooklyn, NY"
CAGRP2U4DT,2024-08-23,Mountain Dew 2 Liter,Beverage,3.29,2L,4,Sandra Williams,No,
OCFI4O6L1F,2024-04-18,Classic Cheese Pizza,Pizza,8.99,Large,4,Ashley Rodriguez,Yes,"1318 Eastern Pkwy, Brooklyn, NY"
PYXDW2ZCFZ,2024-02-10,Aquafina Water,Beverage,1.99,20oz,5,Karen Martin,Yes,"1345 Kings Hwy, Brooklyn, NY"
ND669UGNEK,2024-07-18,Crazy Bread,Sides,4.99,Regular,3,Joseph Lopez,No,
AO4N5PP3XV,2024-02-02,Veggie Pizza,Pizza,12.49,Large,2,Betty Williams,Yes,"5011 Fulton St, Brooklyn, NY"
H9G1A07H23,2024-11-04,ExtraMostBestest Pepperoni,Pizza,10.49,Large,2,Elizabeth Thomas,Yes,"6624 Kings Hwy, Brooklyn, NY"
M6TWD1XMXB,2024-07-28,Classic Cheese Pizza,Pizza,8.99,Large,7,Susan Gonzalez,Yes,"2625 Utica Ave, Brooklyn, NY"
YF9RK7D30M,2024-12-12,Aquafina Water,Beverage,1.99,20oz,8,Linda Taylor,Yes,"1715 Church Ave, Brooklyn, NY"
IGFU8IOGXP,2024-04-15,ExtraMostBestest Cheese,Pizza,10.49,Large,4,Matthew Anderson,Yes,"7278 Utica Ave, Brooklyn, NY"
R8LNOEMQGY,2024-11-10,Classic Cheese Pizza,Pizza,8.99,Large,7,William Williams,Yes,"3619 Nostrand Ave, Brooklyn, NY"
9TRFLQBMAE,2024-11-10,Caesar Wings,Wings,8.99,8pc,4,Jennifer Lopez,Yes,"5103 Atlantic Ave, Brooklyn, NY"
01TEE13N3B,2024-10-14,Buffalo Wings,Wings,9.49,8pc,4,Susan Anderson,No,
91I3VMZWFF,2024-10-06,Crazy Bread Combo,Sides,5.99,Regular,7,Daniel Davis,No,
E1OCJXZEFL,2024-04-15,Classic Pepperoni Pizza,Pizza,9.49,Large,1,Jennifer Hernandez,Yes,"9878 Court St, Brooklyn, NY"
LA100QXMCT,2024-12-12,ExtraMostBestest Pepperoni,Pizza,10.49,Large,9,Susan Gonzalez,Yes,"4502 Eastern Pkwy, Brooklyn, NY"
HYEXF7JXJN,2024-08-07,ExtraMostBestest Pepperoni,Beverage,10.49,Large,2,Sarah Jackson,No,
PECN0DL5E1,2024-03-25,2 Liter Diet Pepsi,Sides,3.29,2L,1,Daniel Williams,Yes,"3936 Coney Island Ave, Brooklyn, NY"
FJDTVV2Y4X,2024-03-09,Italian Cheese Bread,Sides,6.49,Regular,4,Barbara Miller,Yes,"2788 Fulton St, Brooklyn, NY"
NY181ACJBC,2024-09-22,ExtraMostBestest Pepperoni,Pizza,10.49,Large,7,Richard Brown,Yes,"4021 Fulton St, Brooklyn, NY"
LP8II7EWBX,2024-09-16,Caesar Wings,Wings,8.99,8pc,3,Daniel Moore,Yes,"6690 Atlantic Ave, Brooklyn, NY"
2J51B3JCZU,2024-03-30,Crazy Bread,Sides,4.99,Regular,3,Jennifer Thomas,No,
QNF74T60PL,2024-08-21,Classic Cheese Pizza,Pizza,8.99,Large,3,Barbara Garcia,Yes,"9387 Bedford Ave, Brooklyn, NY"
K20IN8910T,2024-06-12,3 Meat Treat Pizza,Pizza,12.99,Large,5,Linda Taylor,No,
ZD76SZN9DD,2024-03-18,Caesar Wings,Wings,8.99,8pc,1,Daniel Smith,Yes,"8972 Kings Hwy, Brooklyn, NY"
7E1DDQLEM1,2024-07-20,Classic Pepperoni Pizza,Pizza,9.49,Large,7,Elizabeth Rodriguez,Yes,"2241 Nostrand Ave, Brooklyn, NY"
4UTDD2EC2I,2024-08-25,Supreme Pizza,Pizza,13.99,Large,5,Matthew Martin,No,
3OBYGHGK5B,2024-07-24,Classic Pepperoni Pizza,Pizza,9.49,Large,3,James Williams,No,
ANZR2MULJA,2024-05-05,Crazy Bread,Sides,4.99,Regular,8,Jessica Johnson,No,
T2018U9N79,2024-01-16,Crazy Bread,Sides,4.99,Regular,3,Jessica Taylor,No,
RLRDIHSA7H,2024-05-01,Classic Pepperoni Pizza,Pizza,9.49,Large,3,James Lopez,No,
EF828XG8Y7,2024-03-31,Classic Pepperoni Pizza,Pizza,9.49,Large,5,Sandra Taylor,Yes,"2420 Atlantic Ave, Brooklyn, NY"
78HU7F0I9G,2024-04-24,Caesar Wings,Wings,8.99,8pc,2,Jennifer Smith,Yes,"4925 Bedford Ave, Brooklyn, NY"
MN32U1IQ2B,2024-02-15,2 Liter Pepsi,Beverage,3.29,2L,3,Matthew Williams,Yes,"3535 Nostrand Ave, Brooklyn, NY"
6FDHGZZ0JK,2024-05-13,Classic Cheese Pizza,Pizza,8.99,Large,1,Nancy Williams,Yes,"6251 Bedford Ave, Brooklyn, NY"
C4LORXDTG5,2024-01-26,ExtraMostBestest Pepperoni,Pizza,10.49,Large,4,Susan Williams,Yes,"6011 Flatbush Ave, Brooklyn, NY"
3PT5R5RC6Z,2024-08-16,ExtraMostBestest Cheese,Pizza,10.49,Large,1,Mark Rodriguez,No,
6CNOLJQ52W,2024-09-21,Veggie Pizza,Pizza,12.49,Large,4,Betty Miller,Yes,"2838 Nostrand Ave, Brooklyn, NY"
VBJFVYB6LI,2024-08-02,Deep Dish Pepperoni,Pizza,11.99,Regular,1,Charles Brown,Yes,"9383 Ocean Pkwy, Brooklyn, NY"
L0VDP6ORSN,2024-05-17,Italian Cheese Bread,Sides,6.49,Regular,3,William Thomas,Yes,"5065 Church Ave, Brooklyn, NY"
CBBMHNQO7Y,2024-03-22,Classic Cheese Pizza,Pizza,8.99,Large,1,Richard Jones,No,
4XYJOA21A6,2024-09-07,ExtraMostBestest Pepperoni,Pizza,10.49,Large,7,Jennifer Rodriguez,Yes,"5830 Kings Hwy, Brooklyn, NY"
ODSX4NXVKD,2024-11-03,Crazy Bread,Sides,4.99,Regular,4,Matthew Rodriguez,Yes,"5104 Utica Ave, Brooklyn, NY"
ZX9JPNBZUG,2024-05-21,Classic Cheese Pizza,Pizza,8.99,Large,3,Robert Taylor,Yes,"4995 Nostrand Ave, Brooklyn, NY"
I5P5NVQEBW,2024-04-23,Italian Cheese Bread,Sides,6.49,Regular,4,Donald Moore,Yes,"2885 Eastern Pkwy, Brooklyn, NY"
HOU6QLZ2RW,2024-11-13,Deep Dish Cheese,Pizza,11.49,Regular,1,Thomas Brown,No,
0861TAA0I5,2024-11-20,Classic Pepperoni Pizza,Pizza,9.49,Large,1,Charles Garcia,No,
MG87OI0E0V,2024-02-22,ExtraMostBestest Cheese,Pizza,10.49,Large,4,Elizabeth Anderson,Yes,"849 Church Ave, Brooklyn, NY"
FZWKXXJVE3,2024-07-06,Classic Pepperoni Pizza,Pizza,9.49,Large,6,Karen Johnson,No,
6YRIADDUR8,2024-11-12,Classic Cheese Pizza,Pizza,8.99,Large,1,Michael Martin,No,
6AEXL68J0N,2024-02-08,Caesar Wings,Wings,8.99,8pc,1,William,Yes,"7583 Church Ave, Brooklyn, NY"
094D6RUPW2,2024-02-28,ExtraMostBestest Cheese,Pizza,10.49,Large,4,William Gonzalez,No,
9YMSZDXIMY,2024-12-16,Crazy Bread,Sides,4.99,Regular,7,Mary Williams,Yes,"6838 Fulton St, Brooklyn, NY"
Q4QERXDOUA,2024-10-12,ExtraMostBestest Cheese,Pizza,10.49,Large,3,Sandra Garcia,Yes,"7788 Fulton St, Brooklyn, NY"
QDXAMW2TND,2024-11-05,Classic Cheese Pizza,Pizza,8.99,Large,3,Barbara Johnson,Yes,"7574 Kings Hwy, Brooklyn, NY"
YE6QVS8A0T,2024-09-09,2 Liter Diet Pepsi,Beverage,3.29,2L,2,Patricia Gonzalez,Yes,"3309 Nostrand Ave, Brooklyn, NY"
IOMK2EV5S4,2024-10-26,3 Meat Treat Pizza,Pizza,12.99,Large,10,Jennifer Jones,No,
UU7ZY6T5PA,2024-06-09,Deep Dish Pepperoni,Pizza,11.99,Regular,5,Barbara Jones,Yes,"4860 Eastern Pkwy, Brooklyn, NY"
IXNS2ZYBNO,2024-07-14,Classic Cheese Pizza,Pizza,8.99,Large,4,Lisa Rodriguez,Yes,"2736 Church Ave, Brooklyn, NY"
18KGYGGSNP,2024-12-16,Caesar Wings,Wings,8.99,8pc,9,Karen,Yes,"4217 Nostrand Ave, Brooklyn, NY"
CZS8S2FTOM,2024-03-07,Deep Dish Cheese,Pizza,11.49,Regular,2,Ashley Jones,Yes,"7740 Utica Ave, Brooklyn, NY"
8YL68NTK63,2024-12-05,2 Liter Pepsi,Beverage,3.29,2L,3,Thomas Thomas,Yes,"3679 Ocean Pkwy, Brooklyn, NY"
Z91X70FQLD,2024-09-17,ExtraMostBestest Cheese,Pizza,10.49,Large,4,Thomas Williams,Yes,"3254 Kings Hwy, Brooklyn, NY"
1VZC7D2KD1,2024-05-08,Classic Cheese Pizza,Pizza,8.99,Large,1,Susan Gonzalez,Yes,
8A5FBUOTDH,2024-07-21,Supreme Pizza,Pizza,13.99,Large,6,Richard Moore,Yes,"2334 Utica Ave, Brooklyn, NY"
QTKCD0RLEX,2024-06-25,Italian Cheese Bread,Sides,6.49,Regular,7,Mark Rodriguez,Yes,"3717 Ocean Pkwy, Brooklyn, NY"
MYLRQ1RDXC,2024-11-13,Classic Cheese Pizza,Pizza,8.99,Large,1,Karen Martinez,Yes,"7483 Kings Hwy, Brooklyn, NY"
1HBJ6TXFO6,2024-03-12,ExtraMostBestest Pepperoni,Pizza,10.49,Large,2,Daniel Williams,No,
U5F07B1IJI,2024-05-28,Crazy Bread,Sides,4.99,Regular,2,Barbara Taylor,Yes,"1583 Coney Island Ave, Brooklyn, NY"
NNV6CJ9IO3,2024-09-22,Crazy Bread Combo,Sides,5.99,Regular,8,Donald Johnson,No,
ZRRHF4ABUF,2024-09-03,ExtraMostBestest Cheese,Pizza,10.49,Large,1,Thomas Rodriguez,Yes,"3868 Atlantic Ave, Brooklyn, NY"
VQRHOFU1WS,2024-01-21,Crazy Bread,Sides,4.99,Regular,4,Richard Martin,Yes,"3049 Court St, Brooklyn, NY"
WB2SEREV36,2024-12-17,Classic Pepperoni Pizza,Pizza,9.49,Large,8,Patricia Smith,Yes,"6415 Bedford Ave, Brooklyn, NY"
ZDERI4K5OG,2024-11-28,Caesar Wings,Wings,8.99,8pc,4,Thomas Wilson,Yes,"811 Utica Ave, Brooklyn, NY"
OHTUGUR9U1,2024-01-04,Crazy Bread Combo,Sides,5.99,Regular,1,Betty Hernandez,Yes,"3465 Utica Ave, Brooklyn, NY"
ADF7PCHCBN,2024-03-11,3 Meat Treat Pizza,Pizza,12.99,Large,1,Michael Taylor,Yes,"2750 Atlantic Ave, Brooklyn, NY"
BVSIGBIAF9,2024-11-10,Aquafina Water,Beverage,1.99,20oz,9,Mark Garcia,No,
QOAGSUSMES,2024-06-29,Caesar Wings,Wings,8.99,8pc,9,Sarah Martinez,Yes,"1224 Atlantic Ave, Brooklyn, NY"
AECW9YIL8S,2024-10-02,ExtraMostBestest Pepperoni,Pizza,10.49,Large,3,Charles Thomas,No,
RH05HHIWFD,2024-05-14,Classic Cheese Pizza,Pizza,8.99,Large,2,Sarah Garcia,Yes,"5703 Atlantic Ave, Brooklyn, NY"
JG1SO1ESP7,2024-12-12,2 Liter Diet Pepsi,Beverage,3.29,,10,Sarah Johnson,No,
TIQWNRHZN4,2024-06-26,Classic Cheese Pizza,Pizza,8.99,Large,7,Matthew Taylor,No,
RAPE6WTLRJ,2024-04-02,ExtraMostBestest Pepperoni,Pizza,10.49,Large,2,Nancy Rodriguez,No,
U7JAE58HUX,2024-01-25,2 Liter Pepsi,Beverage,3.29,2L,4,Mary Miller,No,
MWU4CFILKJ,2024-05-25,Classic Pepperoni Pizza,Pizza,9.49,Large,7,Joseph Williams,No,
S9DWD7OI0P,2024-05-18,Crazy Bread,Sides,4.99,Regular,8,Robert Davis,No,
VQ05PXT6RI,2024-09-26,Classic Pepperoni Pizza,Pizza,9.49,Large,2,Sandra Thomas,Yes,"5946 Kings Hwy, Brooklyn, NY"
APKIANOUOF,2024-06-06,Classic Cheese Pizza,Wings,8.99,Large,3,James Taylor,Yes,"5073 Flatbush Ave, Brooklyn, NY"
O4GKWWJWGA,2024-07-18,Italian Cheese Bread,Sides,6.49,Regular,4,Linda Taylor,Yes,"7017 Eastern Pkwy, Brooklyn, NY"
2L48C1CQG4,2024-09-30,Classic Cheese Pizza,Pizza,8.99,Large,1,Elizabeth Rodriguez,No,
LLWB7SJWH5,2024-01-07,Buffalo Wings,Wings,9.49,8pc,4,Joseph Davis,No,
1IRYM81CMF,2024-04-21,2 Liter Pepsi,Beverage,3.29,2L,4,Charles Brown,Yes,"2842 Church Ave, Brooklyn, NY"
RPKZGGM0J3,2024-02-24,Deep Dish Pepperoni,Pizza,11.99,Regular,7,Anthony Lopez,Yes,"9248 Eastern Pkwy, Brooklyn, NY"
NWLC83GY1F,2024-10-10,2 Liter Diet Pepsi,Beverage,3.29,2L,2,Mark Rodriguez,Yes,"7462 Church Ave, Brooklyn, NY"
ZA7X73QXM0,2024-07-28,ExtraMostBestest Pepperoni,Pizza,10.49,Large,5,Mark Jones,Yes,"1192 Flatbush Ave, Brooklyn, NY"
UU01UYZPD2,2024-07-07,2 Liter Pepsi,Beverage,3.29,2L,10,Mark Martinez,No,
LITNT0MQ8A,2024-09-15,Deep Dish Pepperoni,Pizza,11.99,Regular,6,Donald Hernandez,No,
JTU7FBMENU,2024-05-25,Classic Cheese Pizza,Pizza,8.99,Large,7,Elizabeth Smith,No,
UCC1M3O55I,2024-06-02,ExtraMostBestest Pepperoni,Pizza,10.49,Large,7,John Hernandez,Yes,"3662 Utica Ave, Brooklyn, NY"
DP2FMR0TJO,2024-11-04,Crazy Bread,Sides,4.99,Regular,1,David Moore,Yes,"8691 Flatbush Ave, Brooklyn, NY"
7DYPMLVAK9,2024-12-23,Supreme Pizza,Pizza,13.99,Large,5,Daniel Jackson,Yes,"8093 Coney Island Ave, Brooklyn, NY"
QL0HT1TW9Z,2024-08-14,Crazy Bread,Sides,4.99,Regular,2,Lisa Lopez,Yes,"3925 Nostrand Ave, Brooklyn, NY"
5XIN9DL5TG,2024-07-11,Crazy Bread Combo,Sides,5.99,Regular,1,Betty Martin,Yes,"4753 Nostrand Ave, Brooklyn, NY"
W563BTKF6X,2024-08-22,Veggie Pizza,Pizza,12.49,Large,1,David Thomas,Yes,"8773 Church Ave, Brooklyn, NY"
SE99F77LU8,2024-07-14,Classic Cheese Pizza,Pizza,8.99,Large,7,Ashley Martin,Yes,"7087 Church Ave, Brooklyn, NY"
GEA9WVWVIA,2024-06-11,Classic Pepperoni Pizza,Pizza,9.49,Large,4,Susan Wilson,No,
YHHG8PWY55,2024-09-01,Classic Cheese Pizza,Pizza,8.99,Large,8,Barbara Garcia,No,
BN18GP51KF,2024-01-22,3 Meat Treat Pizza,Pizza,12.99,Large,4,Sarah Taylor,Yes,"9470 Ocean Pkwy, Brooklyn, NY"
Y62ZEEQNSN,2024-01-28,ExtraMostBestest Pepperoni,Pizza,10.49,Large,7,Jennifer Jackson,Yes,"8302 Atlantic Ave, Brooklyn, NY"
QWEEHWJQ4T,2024-09-18,Caesar Wings,Wings,8.99,8pc,2,Ashley Hernandez,Yes,"819 Bedford Ave, Brooklyn, NY"
XB4Y4K7BPG,2024-09-09,Classic Cheese Pizza,Pizza,8.99,Large,2,Susan Anderson,Yes,"7894 Fulton St, Brooklyn, NY"
JSSZWD0W9R,2024-11-08,Crazy Bread Combo,Sides,5.99,Regular,2,Barbara Johnson,No,
